2023-01-10 23:15:33,608 -+- PEER1_LOGGER -+- INFO -+- Start logging
2023-01-10 23:15:33,608 -+- PEER1_LOGGER -+- WARNING -+- Simulator not set, using normal socket.
2023-01-10 23:15:42,240 -+- PEER1_LOGGER -+- DEBUG -+- sending a type0 pkt to ('127.0.0.1', 48002) via normal socket, seq0, ack0, pkt_len60
2023-01-10 23:15:42,242 -+- PEER1_LOGGER -+- DEBUG -+- Receiving a type1 pkt from ('127.0.0.1', 48002) via normal socket, seq0, ack0, pkt_len60
2023-01-10 23:15:42,242 -+- PEER1_LOGGER -+- DEBUG -+- sending a type2 pkt to ('127.0.0.1', 48002) via normal socket, seq0, ack0, pkt_len58
2023-01-10 23:15:42,243 -+- PEER1_LOGGER -+- DEBUG -+- Receiving a type3 pkt from ('127.0.0.1', 48002) via normal socket, seq1, ack0, pkt_len1040
2023-01-10 23:15:42,243 -+- PEER1_LOGGER -+- DEBUG -+- sending a type4 pkt to ('127.0.0.1', 48002) via normal socket, seq0, ack1, pkt_len16
2023-01-10 23:15:42,244 -+- PEER1_LOGGER -+- DEBUG -+- Receiving a type3 pkt from ('127.0.0.1', 48002) via normal socket, seq2, ack0, pkt_len1040
2023-01-10 23:15:42,244 -+- PEER1_LOGGER -+- DEBUG -+- sending a type4 pkt to ('127.0.0.1', 48002) via normal socket, seq0, ack2, pkt_len16
2023-01-10 23:15:42,245 -+- PEER1_LOGGER -+- DEBUG -+- Receiving a type3 pkt from ('127.0.0.1', 48002) via normal socket, seq3, ack0, pkt_len1040
2023-01-10 23:15:42,245 -+- PEER1_LOGGER -+- DEBUG -+- sending a type4 pkt to ('127.0.0.1', 48002) via normal socket, seq0, ack3, pkt_len16
2023-01-10 23:15:42,245 -+- PEER1_LOGGER -+- DEBUG -+- Receiving a type3 pkt from ('127.0.0.1', 48002) via normal socket, seq4, ack0, pkt_len1040
2023-01-10 23:15:42,246 -+- PEER1_LOGGER -+- DEBUG -+- sending a type4 pkt to ('127.0.0.1', 48002) via normal socket, seq0, ack4, pkt_len16
2023-01-10 23:15:42,246 -+- PEER1_LOGGER -+- DEBUG -+- Receiving a type3 pkt from ('127.0.0.1', 48002) via normal socket, seq5, ack0, pkt_len1040
2023-01-10 23:15:42,246 -+- PEER1_LOGGER -+- DEBUG -+- sending a type4 pkt to ('127.0.0.1', 48002) via normal socket, seq0, ack5, pkt_len16
2023-01-10 23:15:42,247 -+- PEER1_LOGGER -+- DEBUG -+- Receiving a type3 pkt from ('127.0.0.1', 48002) via normal socket, seq6, ack0, pkt_len1040
2023-01-10 23:15:42,247 -+- PEER1_LOGGER -+- DEBUG -+- sending a type4 pkt to ('127.0.0.1', 48002) via normal socket, seq0, ack6, pkt_len16
