2023-01-12 11:25:26,052 -+- PEER2_LOGGER -+- INFO -+- Start logging
2023-01-12 11:25:26,053 -+- PEER2_LOGGER -+- WARNING -+- Simulator not set, using normal socket.
2023-01-12 11:25:33,793 -+- PEER2_LOGGER -+- DEBUG -+- Receiving a type0 pkt from ('127.0.0.1', 48001) via normal socket, seq0, ack0, pkt_len60
2023-01-12 11:25:33,793 -+- PEER2_LOGGER -+- DEBUG -+- sending a type1 pkt to ('127.0.0.1', 48001) via normal socket, seq0, ack0, pkt_len60
2023-01-12 11:25:33,794 -+- PEER2_LOGGER -+- DEBUG -+- Receiving a type2 pkt from ('127.0.0.1', 48001) via normal socket, seq0, ack0, pkt_len58
2023-01-12 11:25:33,795 -+- PEER2_LOGGER -+- DEBUG -+- sending a type3 pkt to ('127.0.0.1', 48001) via normal socket, seq1, ack0, pkt_len1040
2023-01-12 11:25:33,795 -+- PEER2_LOGGER -+- DEBUG -+- sending a type3 pkt to ('127.0.0.1', 48001) via normal socket, seq2, ack0, pkt_len1040
2023-01-12 11:25:33,796 -+- PEER2_LOGGER -+- DEBUG -+- Receiving a type4 pkt from ('127.0.0.1', 48001) via normal socket, seq0, ack1, pkt_len16
2023-01-12 11:25:33,796 -+- PEER2_LOGGER -+- DEBUG -+- sending a type3 pkt to ('127.0.0.1', 48001) via normal socket, seq3, ack0, pkt_len1040
2023-01-12 11:25:33,797 -+- PEER2_LOGGER -+- DEBUG -+- sending a type3 pkt to ('127.0.0.1', 48001) via normal socket, seq4, ack0, pkt_len1040
2023-01-12 11:25:33,797 -+- PEER2_LOGGER -+- DEBUG -+- sending a type3 pkt to ('127.0.0.1', 48001) via normal socket, seq5, ack0, pkt_len1040
2023-01-12 11:25:33,798 -+- PEER2_LOGGER -+- DEBUG -+- Receiving a type4 pkt from ('127.0.0.1', 48001) via normal socket, seq0, ack2, pkt_len16
2023-01-12 11:25:33,798 -+- PEER2_LOGGER -+- DEBUG -+- sending a type3 pkt to ('127.0.0.1', 48001) via normal socket, seq6, ack0, pkt_len1040
2023-01-12 11:25:33,799 -+- PEER2_LOGGER -+- DEBUG -+- sending a type3 pkt to ('127.0.0.1', 48001) via normal socket, seq7, ack0, pkt_len1040
2023-01-12 11:25:33,799 -+- PEER2_LOGGER -+- DEBUG -+- sending a type3 pkt to ('127.0.0.1', 48001) via normal socket, seq8, ack0, pkt_len1040
2023-01-12 11:25:33,800 -+- PEER2_LOGGER -+- DEBUG -+- sending a type3 pkt to ('127.0.0.1', 48001) via normal socket, seq9, ack0, pkt_len1040
2023-01-12 11:25:33,800 -+- PEER2_LOGGER -+- DEBUG -+- Receiving a type4 pkt from ('127.0.0.1', 48001) via normal socket, seq0, ack3, pkt_len16
2023-01-12 11:25:33,801 -+- PEER2_LOGGER -+- DEBUG -+- sending a type3 pkt to ('127.0.0.1', 48001) via normal socket, seq10, ack0, pkt_len1040
2023-01-12 11:25:33,802 -+- PEER2_LOGGER -+- DEBUG -+- sending a type3 pkt to ('127.0.0.1', 48001) via normal socket, seq11, ack0, pkt_len1040
2023-01-12 11:25:33,802 -+- PEER2_LOGGER -+- DEBUG -+- sending a type3 pkt to ('127.0.0.1', 48001) via normal socket, seq12, ack0, pkt_len1040
2023-01-12 11:25:33,803 -+- PEER2_LOGGER -+- DEBUG -+- sending a type3 pkt to ('127.0.0.1', 48001) via normal socket, seq13, ack0, pkt_len1040
